Williston Basin,Dicotyledones,FU52,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,3,,,present,,,,asymmetrical,symmetrical,Unlobed,Toothed,,acute,,,,,present,,,acute,,,present,,,,,,,,,,,,,,,pinnate,,,,Semicraspedodromous,,,,,Abruptly increasing proximally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Penosphyllum,FU61,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1,,,present,,,,symmetrical,symmetrical,Unlobed,Untoothed,,,,,,,,,,Reflex,,,,,,,,,present,,,,,,,,,pinnate,,,,Brochidodromous,,,,Regular,Uniform,,,,,,,Percurrent,Opposite percurrent,Obtuse,Increasing exmedially - basally concentric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Platanaceae,FU63,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,,,,present,,,,,,Unlobed,Crenate (serrate),,,,,,,,,,,,,,,,,,,,,,,,,,,,Suprabasal actinodromous,,,,Craspedodromous,,,,,,,,,,,,Percurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,FU64,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,5,present,,,,,,symmetrical,symmetrical,Unlobed,Untoothed,,acute,,,,,,,,acute,,,,,,,,,,,,,,,,,,pinnate,,,,Eucamptodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,FU65,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,2-3,,,present,,,,symmetrical,symmetrical,Unlobed,serrate,,acute,present,,,,,,,obtuse to reflex,,,,,present,,,,,,,,,,,,,pinnate,,,,Semicraspedodromous,,,,Decreasing proximally,,,,,,,,Percurrent,,Perpendicular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,FU69,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,,,,present,,,,,,Unlobed,Untoothed,,,,,,,,,,Reflex,,,,,,,,,present,,,,,,,,,Actinodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,gPopulush,FU7,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1-1.5,,,present,,,,symmetrical,symmetrical,Unlobed,Dentate,,acute to obtuse,present,,,,present,,,Obtuse to Reflex,,,present,,,,,,present,,,,,,,,,basal actinodromous,,,,Craspedodromous,,,,,,,,,,,,Percurrent,Opposite percurrent - chevron,,Increasing exmedially - basally concentric,,,,,opposite percurrent,Regular reticulate,,,,,,2,,rounded,CV CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,FU75,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,2,,,present,,,,,,Unlobed,Toothed,,acute,,,,,present,,,obtuse,,,,present,,,,,,,,,,,,,,pinnate,,,,Semicraspedodromous,,,,,Abruptly increasing proximally,,,,,,,Percurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,FU77,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,,,,present,,,,symmetrical,Asymmetrical,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,Eucamptodromous,,,,,,,,,,,,Percurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,FU81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Platanites,HC1,Johnson 1989 Dissertation,,,Compound,,,,Marginal,,,,,,,,1.5-2,,present,,,,,symmetrical,symmetrical,Unlobed,serrate,,obtuse,,,present,,,,,acute,present,,,,,,,,,,,,,,,,,pinnate,,,,Craspedodromous,,,,,Uniform,,,,,,,percurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Trochodendroides,HC103,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1,,,present,,,,,,,Dentate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Marmarthia,HC105,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1,present,,,,,,symmetrical,symmetrical,,Untoothed,,Obtuse,,,present,,,,,Acute to obtuse,,present,,,,present,,,,,,,,,,,,basal actinodromous,,,,Brochidodromous,,,,,,,,,,,,Percurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Platanites,HC106,Johnson 1989 Dissertation,,,compound,,,,Marginal,,,,,,,,1,,present,,,,,,,Lobed,serrate,,Obtuse,,present,present,present,,,,Acute to obtuse,present,,,,,,,,,,,,,,,,,Palinactinodromous,,,,Craspedodromous,,,,,Uniform,,,,,,,Percurrent,,,,,,,,,,,,,,,,,rounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Platanites,HC106,Johnson 1989 Dissertation,,,compound,,,,Marginal,,,,,,,,1,,present,,,,,,,Lobed,serrate,,Obtuse,,present,present,present,,,,Acute to obtuse,present,,,,,,,,,,,,,,,,,Palinactinodromous,,,,Craspedodromous,,,,,Uniform,,,,,,,Percurrent,,,,,,,,,,,,,,,,,rounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Paranymphaea,HC111,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,2,,,present,,,,,,,Untoothed,,Acute,present,present,,,,,,Reflex,,,,,,,,,,,,present,,,,,,pinnate,,,,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Laurales,HC122,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1,,,present,,,,,,Unlobed,Untoothed,,acute to obtuse,present,,,,,,,Reflex,,,,,,,,,,,,present,,,,,,Actinodromous,,,,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Cercidiphyllum,HC124,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,.75,,present,,,,,symmetrical,symmetrical,Unlobed,Dentate,,Reflex,,,,present,,,,obtuse,present,,,,,,,,,,,,,,,,,Actinodromous,,,,Semicraspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Rosidae,HC132,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1-2,,,present,,,,asymmetrical,Insertion Asymmetrical,Unlobed,Dentate,,acute,,,,,,,,acute,,,,,,,,,,,,,,,,,,pinnate,,,,Craspedodromous,,,,,Uniform,decurrent,,,,,,,,,,,,,,,,,,,,,,,,FL FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC135,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1-1.5,,,present,,,,asymmetrical,,Unlobed,serrate,,Acute,present,,,,,,,acute,,,,,,,,,,,,,,,,,,pinnate,,,,Semicraspedodromous,,,,,,,Present,,,,,Percurrent,,,,,,,,,,,,,,,,,angular,CV CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,gVitish,HC14,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1-1.5,,,present,,,,,,Unlobed,Dentate,,Acute,present,present,,,,,,Reflex,,,,,,,,,,present,,,,,,,,Actinodromous,,,,Craspedodromous,,,,,,,,,,,,Percurrent,,,,,,,,,,Good Development,,,,,,3-5,rounded,,,,,,,,Nonspecific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Platanaceae,HC140,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,2,,,present,,,,,,Unlobed,Dentate,,obtuse,,,,,,,,,,,,,,,,,,,,,,,,,,Palinactinodromous,,,,Craspedodromous,,,,,,,,,,,,Percurrent,,,,,,,,,,,,,,,,,,,,,,,,,Nonspecific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC147,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,.5,,,,,,,Symmetrical,Symmetrical,Bilobed,Dentate,,Reflex,,,,,,,present,Reflex,,,,,,,,,present,,,,,,,,,pinnate,,,,Semicraspedodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC159,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,2-3,,present,,,,,asymmetrical,symmetrical,Bilobed,Toothed,,,,,,,,,present,acute,present,,,,,,,,,,,,,,,,,Basal acrodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Marmarthia,HC162,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,2-3,present,,,,,,,,Unlobed,Untoothed,,Acute,present,,,,,,,acute,,present,,,,,,,,,,,,,,,,Basal acrodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Liriodendrites,HC166,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1-1.5,,,present,,,,,,Bilobed,Untoothed,,reflex,,,,,,,present,obtuse to reflex,,,,present,present,,,,,,,,,,,,,pinnate,,,,Brochidodromous,,,,,Abruptly increasing proximally,,,,,,,Percurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC169,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,2,,present,,,,,Symmetrical,symmetrical,Unlobed,serrate,,acute,,present,,,,,,obtuse,,,,present,,,,,,,,,,,,,,pinnate,,,,Semicraspedodromous,,,,,Uniform,,Present,Parallel to major secondaries,,,More than one per intercostal area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,gZiziphush,HC174,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1,,,present,,,,,,Unlobed,Untoothed,,,,,,,,,,Reflex,,,,,,,,,present,,,,,,,,,Basal acrodromous,,,,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,gArtocarpush,HC179,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1,,,,,,,,,Pinnately Lobed,Untoothed,,Acute,present,,,,,,,obtuse,,,present,,,,,,,,,,,,,,,Pinnate,,,,Craspedodromous,,,,,,,,,,,,Percurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Cissites,HC180,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,.75-1,,present,,,,,,,Palmately Lobed,Toothed,,Acute,,,present,,,,,Reflex,,,,,,,,,,present,,,,,,,,Palinactinodromous,,,,Craspedodromous,,,,,,,,,,,,Percurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC182,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,3,,,present,,,,Symmetrical,symmetrical,Unlobed,Untoothed,,Acute,,,,,,,,acute,,,,,,,,present,,,,,,,,,,Pinnate,,,,Brochidodromous,,,,Regular,Uniform,Decurrent,Present,Parallel to major secondaries,More than 50% of subjacent secondary,,Usually one per intercostal area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Laurales,HC199,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,.8-1.2,,,,,,,,,Palmately Lobed,Untoothed,,Acute,present,present,present,,,,,obtuse,,,,,,,,present,,,,,,,,,,Suprabasal actinodromous,,,,Brochidodromous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Grewiopsis,HC2,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1,,,present,,,,,,Unlobed,Dentate,,Acute,,present,,,,,,Acute,,present,,,,,,present,,,,,,,,,,pinnate,,,,Craspedodromous,,,,,,,,,,,,Percurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Bisonia,HC200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Liriodendron,HC208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC21,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,2,,,present,,,,asymmetrical,Width Asymmetrical,Unlobed,Untoothed,,acute,,,,,present,,,Acute to obtuse,,,,present,,,,,,,,,,,,,,pinnate,,,,Eucamptodromous,,,,Decreasing proximally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Rosidae,HC211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Cercidiphyllum,HC212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Rosidae,HC224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Urticaceae,HC228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Cercidiphyllales,HC229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC24,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1,,,present,,,,symmetrical,symmetrical,Unlobed,Dentate,,Acute,present,,,,,,,Obtuse,,,,,present,,,,,,,,,,,,,pinnate,,,,Semicraspedodromous,,,,Decreasing proximally,,decurrent,Present,,,,,,,,,,,,,,,,,,,,,,rounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Cannabaceae,HC243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Rosidae,HC246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Rhamnaceae,HC261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Laurales,HC265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC28,Johnson 1989 Dissertation,,,,,,,Marginal,,,,,,,,1.5,,,present,,,,symmetrical,symmetrical,Unlobed,Untoothed,,Acute,,present,,,,,,obtuse,,,present,,,,,,,,,,,,,,,pinnate,,,,Brochidodromous,,,,,,,Present,,,,,Percurrent,,Perpendicular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williston Basin,Dicotyledones,HC282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
